"ds","polygon1_id","polygon1_name","latitude1","longitude1","polygon2_id","polygon2_name","latitude2","longitude2","metric_value","metric_name"
"2021-08-26","2419372088349100","iraq","33.0","43.0","2247289335332676","turkey","39.0","36.0","3434","travel counts"
"2021-08-26","833225000389252","slovakia","49.0","20.0","1317763431707213","germany","51.0","10.0","1800","travel counts"
"2021-08-26","1317763431707213","germany","51.0","10.0","2247289335332676","turkey","39.0","36.0","4960","travel counts"
"2021-08-26","351785358793117","greece","39.0","22.0","2247289335332676","turkey","39.0","36.0","2900","travel counts"
"2021-08-26","817571401952819","qatar","25.269535","51.212767","343315869635106","philippines","11.333330555556","123.01666944444","1006","travel counts"
"2021-08-26","817571401952819","qatar","25.269535","51.212767","417158592211893","india","21.0","77.0","1149","travel counts"
"2021-08-26","2282619438622633","austria","48.0","14.0","2414720828591431","romania","46.0","25.0","2974","travel counts"
"2021-08-26","2282619438622633","austria","48.0","14.0","1317763431707213","germany","51.0","10.0","30920","travel counts"
"2021-08-26","425473528186094","switzerland","46.798562","8.231973","1317763431707213","germany","51.0","10.0","12440","travel counts"
"2021-08-26","346733206197678","indonesia","-0.8349","113.4668","417158592211893","india","21.0","77.0","2526","travel counts"
"2021-08-26","810648062654687","canada","56.0","-109.0","937148070010051","united states","40.0","-100.0","20360","travel counts"
"2021-08-26","661116984348270","el salvador","13.668889","-88.866111","937148070010051","united states","40.0","-100.0","1903","travel counts"
"2021-08-26","433497307408292","thailand","15.0","101.0","365511357395737","laos","19.366667","102.566667","10506","travel counts"
"2021-08-26","452507115497292","nigeria","9.0","8.0","937148070010051","united states","40.0","-100.0","5954","travel counts"
"2021-08-26","381900512398634","ecuador","-1.4666666666667","-78.816666666667","937148070010051","united states","40.0","-100.0","3368","travel counts"
"2021-08-26","601856040330843","jamaica","18.1823878","-77.3217773","937148070010051","united states","40.0","-100.0","2142","travel counts"
"2021-08-26","1080265735511471","spain","40.0","-3.0","852597565113521","united kingdom","54.0","-2.0","16048","travel counts"
"2021-08-26","362070071076950","netherlands","52.316666666667","5.55","852597565113521","united kingdom","54.0","-2.0","2745","travel counts"
"2021-08-26","1317763431707213","germany","51.0","10.0","852597565113521","united kingdom","54.0","-2.0","4110","travel counts"
"2021-08-26","937148070010051","united states","40.0","-100.0","852597565113521","united kingdom","54.0","-2.0","3345","travel counts"
"2021-08-26","407219260067826","bulgaria","42.75","25.5","852597565113521","united kingdom","54.0","-2.0","1558","travel counts"
"2021-08-26","627913770953274","sweden","61.0","15.0","623759951440132","norway","61.0","8.0","5676","travel counts"
"2021-08-26","345922999375723","bolivia","-17.056869611111","-64.991228611111","2367165386637842","brazil","-11.0","-53.0","1315","travel counts"
"2021-08-26","314322742593141","denmark","56.0","10.0","623759951440132","norway","61.0","8.0","2205","travel counts"
"2021-08-26","1231810770328071","poland","52.0","19.0","623759951440132","norway","61.0","8.0","1103","travel counts"
"2021-08-26","475814519825093","belgium","51.0","5.0","401821703703677","serbia","43.95","20.933333333333","1203","travel counts"
"2021-08-26","321538001884900","bosnia and herzegovina","44.0","18.0","401821703703677","serbia","43.95","20.933333333333","4227","travel counts"
"2021-08-26","1317763431707213","germany","51.0","10.0","401821703703677","serbia","43.95","20.933333333333","1405","travel counts"
"2021-08-26","2282619438622633","austria","48.0","14.0","321538001884900","bosnia and herzegovina","44.0","18.0","1191","travel counts"
"2021-08-26","2282619438622633","austria","48.0","14.0","417045315510881","czech republic","50.0","16.0","5315","travel counts"
"2021-08-26","2414720828591431","romania","46.0","25.0","407219260067826","bulgaria","42.75","25.5","11651","travel counts"
"2021-08-26","852597565113521","united kingdom","54.0","-2.0","407219260067826","bulgaria","42.75","25.5","1044","travel counts"
"2021-08-26","2247289335332676","turkey","39.0","36.0","407219260067826","bulgaria","42.75","25.5","5149","travel counts"
"2021-08-26","937148070010051","united states","40.0","-100.0","810648062654687","canada","56.0","-109.0","21512","travel counts"
"2021-08-26","351785358793117","greece","39.0","22.0","407219260067826","bulgaria","42.75","25.5","5135","travel counts"
"2021-08-26","343315869635106","philippines","11.333330555556","123.01666944444","851705715169048","saudi arabia","23.716667","44.116667","3982","travel counts"
"2021-08-26","376031519676735","bangladesh","24.016667","89.866667","851705715169048","saudi arabia","23.716667","44.116667","1863","travel counts"
"2021-08-26","587958885041696","ghana","8.0","-1.0","2900912886801030","togo","8.25","1.183333","1077","travel counts"
"2021-08-26","937148070010051","united states","40.0","-100.0","2272822426127539","puerto rico","18.25","-66.5","9269","travel counts"
"2021-08-26","2414720828591431","romania","46.0","25.0","2247289335332676","turkey","39.0","36.0","2136","travel counts"
"2021-08-26","407219260067826","bulgaria","42.75","25.5","2247289335332676","turkey","39.0","36.0","4232","travel counts"
"2021-08-26","2282619438622633","austria","48.0","14.0","425473528186094","switzerland","46.798562","8.231973","2436","travel counts"
"2021-08-26","404888597011746","luxembourg","49.77","6.13","1317763431707213","germany","51.0","10.0","5983","travel counts"
"2021-08-26","268664880750877","burkina faso","12.266667","-2.066667","343315869635106","philippines","11.333330555556","123.01666944444","4941","travel counts"
"2021-08-26","1462081337261943","bhutan","27.45","90.5","417158592211893","india","21.0","77.0","2812","travel counts"
"2021-08-26","2414720828591431","romania","46.0","25.0","351785358793117","greece","39.0","22.0","3276","travel counts"
"2021-08-26","2414720828591431","romania","46.0","25.0","1317763431707213","germany","51.0","10.0","8894","travel counts"
"2021-08-26","587958885041696","ghana","8.0","-1.0","343315869635106","philippines","11.333330555556","123.01666944444","2898","travel counts"
"2021-08-26","401821703703677","serbia","43.95","20.933333333333","2414720828591431","romania","46.0","25.0","1210","travel counts"
"2021-08-26","401821703703677","serbia","43.95","20.933333333333","351785358793117","greece","39.0","22.0","1361","travel counts"
"2021-08-26","401821703703677","serbia","43.95","20.933333333333","1317763431707213","germany","51.0","10.0","2812","travel counts"
"2021-08-26","731553183908171","kosovo","42.6","20.85","1317763431707213","germany","51.0","10.0","1793","travel counts"
"2021-08-26","2247289335332676","turkey","39.0","36.0","2414720828591431","romania","46.0","25.0","2184","travel counts"
"2021-08-26","2247289335332676","turkey","39.0","36.0","351785358793117","greece","39.0","22.0","7482","travel counts"
"2021-08-26","2247289335332676","turkey","39.0","36.0","1317763431707213","germany","51.0","10.0","8291","travel counts"
"2021-08-26","312478709447704","portugal","38.7","-9.1833333333333","1317763431707213","germany","51.0","10.0","1279","travel counts"
"2021-08-26","376031519676735","bangladesh","24.016667","89.866667","417158592211893","india","21.0","77.0","13637","travel counts"
"2021-08-26","362070071076950","netherlands","52.316666666667","5.55","351785358793117","greece","39.0","22.0","3371","travel counts"
"2021-08-26","362070071076950","netherlands","52.316666666667","5.55","1317763431707213","germany","51.0","10.0","34831","travel counts"
"2021-08-26","1231810770328071","poland","52.0","19.0","351785358793117","greece","39.0","22.0","2293","travel counts"
"2021-08-26","1231810770328071","poland","52.0","19.0","1317763431707213","germany","51.0","10.0","28377","travel counts"
"2021-08-26","351785358793117","greece","39.0","22.0","2414720828591431","romania","46.0","25.0","3007","travel counts"
"2021-08-26","351785358793117","greece","39.0","22.0","1317763431707213","germany","51.0","10.0","6042","travel counts"
"2021-08-26","433497307408292","thailand","15.0","101.0","642311629554632","cambodia","12.733333","105.666667","5573","travel counts"
"2021-08-26","711084376012350","vietnam","14.016666666667","107.9","642311629554632","cambodia","12.733333","105.666667","3394","travel counts"
"2021-08-26","2367165386637842","brazil","-11.0","-53.0","937148070010051","united states","40.0","-100.0","1569","travel counts"
"2021-08-26","1080265735511471","spain","40.0","-3.0","425473528186094","switzerland","46.798562","8.231973","1422","travel counts"
"2021-08-26","1983580781764432","peru","-8.0","-78.0","345922999375723","bolivia","-17.056869611111","-64.991228611111","1283","travel counts"
"2021-08-26","921744301497079","argentina","-34.0","-64.0","345922999375723","bolivia","-17.056869611111","-64.991228611111","1403","travel counts"
"2021-08-26","309198619756155","liechtenstein","47.145","9.553889","425473528186094","switzerland","46.798562","8.231973","1560","travel counts"
"2021-08-26","1317763431707213","germany","51.0","10.0","425473528186094","switzerland","46.798562","8.231973","11792","travel counts"
"2021-08-26","680120905754069","france","47.0","2.0","425473528186094","switzerland","46.798562","8.231973","28117","travel counts"
"2021-08-26","343315869635106","philippines","11.333330555556","123.01666944444","937148070010051","united states","40.0","-100.0","2902","travel counts"
"2021-08-26","425473528186094","switzerland","46.798562","8.231973","2282619438622633","austria","48.0","14.0","2478","travel counts"
"2021-08-26","851705715169048","saudi arabia","23.716667","44.116667","419387851957862","egypt","26.0","29.0","1865","travel counts"
"2021-08-26","351886962112263","italy","43.0","12.0","2282619438622633","austria","48.0","14.0","11084","travel counts"
"2021-08-26","2318040415151986","algeria","28.0","2.0","419387851957862","egypt","26.0","29.0","1090","travel counts"
"2021-08-26","362070071076950","netherlands","52.316666666667","5.55","2282619438622633","austria","48.0","14.0","1090","travel counts"
"2021-08-26","597585864063467","united arab emirates","23.783333","54.0","366682297538943","pakistan","29.0","69.0","2102","travel counts"
"2021-08-26","1317763431707213","germany","51.0","10.0","2282619438622633","austria","48.0","14.0","26966","travel counts"
"2021-08-26","351785358793117","greece","39.0","22.0","2282619438622633","austria","48.0","14.0","1447","travel counts"
"2021-08-26","627913770953274","sweden","61.0","15.0","1317763431707213","germany","51.0","10.0","4045","travel counts"
"2021-08-26","475814519825093","belgium","51.0","5.0","351785358793117","greece","39.0","22.0","1581","travel counts"
"2021-08-26","475814519825093","belgium","51.0","5.0","1317763431707213","germany","51.0","10.0","12871","travel counts"
"2021-08-26","351886962112263","italy","43.0","12.0","2414720828591431","romania","46.0","25.0","4127","travel counts"
"2021-08-26","351886962112263","italy","43.0","12.0","351785358793117","greece","39.0","22.0","4341","travel counts"
"2021-08-26","351886962112263","italy","43.0","12.0","1317763431707213","germany","51.0","10.0","18209","travel counts"
"2021-08-26","1080265735511471","spain","40.0","-3.0","2414720828591431","romania","46.0","25.0","1653","travel counts"
"2021-08-26","1080265735511471","spain","40.0","-3.0","1317763431707213","germany","51.0","10.0","7613","travel counts"
"2021-08-26","711084376012350","vietnam","14.016666666667","107.9","417158592211893","india","21.0","77.0","1220","travel counts"
"2021-08-26","1317763431707213","germany","51.0","10.0","351785358793117","greece","39.0","22.0","4633","travel counts"
"2021-08-26","1317763431707213","germany","51.0","10.0","2414720828591431","romania","46.0","25.0","5645","travel counts"
"2021-08-26","331955067734176","finland","64.0","26.0","627913770953274","sweden","61.0","15.0","3188","travel counts"
"2021-08-26","314322742593141","denmark","56.0","10.0","627913770953274","sweden","61.0","15.0","8629","travel counts"
"2021-08-26","346733206197678","indonesia","-0.8349","113.4668","463167797558589","taiwan","24.0","121.0","2144","travel counts"
"2021-08-26","1080265735511471","spain","40.0","-3.0","937148070010051","united states","40.0","-100.0","1489","travel counts"
"2021-08-26","1983580781764432","peru","-8.0","-78.0","937148070010051","united states","40.0","-100.0","1686","travel counts"
"2021-08-26","290913558509638","haiti","19.1","-72.33","601856040330843","jamaica","18.1823878","-77.3217773","2778","travel counts"
"2021-08-26","417045315510881","czech republic","50.0","16.0","1317763431707213","germany","51.0","10.0","13562","travel counts"
"2021-08-26","623759951440132","norway","61.0","8.0","1317763431707213","germany","51.0","10.0","1407","travel counts"
"2021-08-26","852597565113521","united kingdom","54.0","-2.0","2414720828591431","romania","46.0","25.0","2766","travel counts"
"2021-08-26","852597565113521","united kingdom","54.0","-2.0","1317763431707213","germany","51.0","10.0","2850","travel counts"
"2021-08-26","852597565113521","united kingdom","54.0","-2.0","351785358793117","greece","39.0","22.0","6712","travel counts"
"2021-08-26","417158592211893","india","21.0","77.0","343315869635106","philippines","11.333330555556","123.01666944444","1294","travel counts"
"2021-08-26","343315869635106","philippines","11.333330555556","123.01666944444","417158592211893","india","21.0","77.0","1176","travel counts"
"2021-08-26","616857608787515","hungary","47.0","19.0","1317763431707213","germany","51.0","10.0","8142","travel counts"
"2021-08-26","616857608787515","hungary","47.0","19.0","2414720828591431","romania","46.0","25.0","9125","travel counts"
"2021-08-26","833225000389252","slovakia","49.0","20.0","616857608787515","hungary","47.0","19.0","5055","travel counts"
"2021-08-26","2414720828591431","romania","46.0","25.0","616857608787515","hungary","47.0","19.0","12354","travel counts"
"2021-08-26","351886962112263","italy","43.0","12.0","616857608787515","hungary","47.0","19.0","2615","travel counts"
"2021-08-26","2247289335332676","turkey","39.0","36.0","616857608787515","hungary","47.0","19.0","1054","travel counts"
"2021-08-26","505239163341639","estonia","59.0","26.0","331955067734176","finland","64.0","26.0","2024","travel counts"
"2021-08-26","384833669025234","slovenia","46.0","15.0","616857608787515","hungary","47.0","19.0","1306","travel counts"
"2021-08-26","407219260067826","bulgaria","42.75","25.5","616857608787515","hungary","47.0","19.0","1831","travel counts"
"2021-08-26","351785358793117","greece","39.0","22.0","616857608787515","hungary","47.0","19.0","1434","travel counts"
"2021-08-26","601856040330843","jamaica","18.1823878","-77.3217773","290913558509638","haiti","19.1","-72.33","2759","travel counts"
