"ds","polygon1_id","polygon1_name","latitude1","longitude1","polygon2_id","polygon2_name","latitude2","longitude2","metric_value","metric_name"
"2021-06-25","343315869635106","philippines","11.333330555556","123.01666944444","268664880750877","burkina faso","12.266667","-2.066667","5725","travel counts"
"2021-06-25","851705715169048","saudi arabia","23.716667","44.116667","420975545355368","jordan","31.016667","36.616667","1569","travel counts"
"2021-06-25","937148070010051","united states","40.0","-100.0","414218989431133","honduras","14.633333","-86.816667","1567","travel counts"
"2021-06-25","2414720828591431","romania","46.0","25.0","2247289335332676","turkey","39.0","36.0","2363","travel counts"
"2021-06-25","407219260067826","bulgaria","42.75","25.5","2247289335332676","turkey","39.0","36.0","4498","travel counts"
"2021-06-25","2419372088349100","iraq","33.0","43.0","2247289335332676","turkey","39.0","36.0","2318","travel counts"
"2021-06-25","1025887597595017","georgia","42.016669444444","43.733330555556","2247289335332676","turkey","39.0","36.0","1329","travel counts"
"2021-06-25","2414720828591431","romania","46.0","25.0","2282619438622633","austria","48.0","14.0","3910","travel counts"
"2021-06-25","417045315510881","czech republic","50.0","16.0","2282619438622633","austria","48.0","14.0","4122","travel counts"
"2021-06-25","833225000389252","slovakia","49.0","20.0","2282619438622633","austria","48.0","14.0","3030","travel counts"
"2021-06-25","1317763431707213","germany","51.0","10.0","2282619438622633","austria","48.0","14.0","27529","travel counts"
"2021-06-25","2318040415151986","algeria","28.0","2.0","419387851957862","egypt","26.0","29.0","1174","travel counts"
"2021-06-25","806572816378642","tunisia","34.0","9.0","2117103768344082","libya","27.0","17.0","2230","travel counts"
"2021-06-25","351886962112263","italy","43.0","12.0","2666999523371674","san marino","43.933333333333","12.466666666667","3297","travel counts"
"2021-06-25","401821703703677","serbia","43.95","20.933333333333","2230412020541290","montenegro","42.766667","19.216667","2785","travel counts"
"2021-06-25","420975545355368","jordan","31.016667","36.616667","851705715169048","saudi arabia","23.716667","44.116667","1260","travel counts"
"2021-06-25","343315869635106","philippines","11.333330555556","123.01666944444","851705715169048","saudi arabia","23.716667","44.116667","3965","travel counts"
"2021-06-25","376031519676735","bangladesh","24.016667","89.866667","851705715169048","saudi arabia","23.716667","44.116667","2106","travel counts"
"2021-06-25","419387851957862","egypt","26.0","29.0","851705715169048","saudi arabia","23.716667","44.116667","1210","travel counts"
"2021-06-25","817571401952819","qatar","25.269535","51.212767","851705715169048","saudi arabia","23.716667","44.116667","1134","travel counts"
"2021-06-25","346733206197678","indonesia","-0.8349","113.4668","463167797558589","taiwan","24.0","121.0","2289","travel counts"
"2021-06-25","642311629554632","cambodia","12.733333","105.666667","433497307408292","thailand","15.0","101.0","5263","travel counts"
"2021-06-25","384063729112550","new zealand","-42.0","174.0","1246147782210951","australia","-25.0","135.0","1934","travel counts"
"2021-06-25","921744301497079","argentina","-34.0","-64.0","345922999375723","bolivia","-17.056869611111","-64.991228611111","1502","travel counts"
"2021-06-25","2367165386637842","brazil","-11.0","-53.0","345922999375723","bolivia","-17.056869611111","-64.991228611111","1262","travel counts"
"2021-06-25","2367165386637842","brazil","-11.0","-53.0","657349034710714","colombia","3.816667","-73.916667","1569","travel counts"
"2021-06-25","1317763431707213","germany","51.0","10.0","627913770953274","sweden","61.0","15.0","1892","travel counts"
"2021-06-25","833225000389252","slovakia","49.0","20.0","400835317162981","croatia","45.25","15.466667","1103","travel counts"
"2021-06-25","425473528186094","switzerland","46.798562","8.231973","680120905754069","france","47.0","2.0","30051","travel counts"
"2021-06-25","362070071076950","netherlands","52.316666666667","5.55","680120905754069","france","47.0","2.0","6747","travel counts"
"2021-06-25","827650550921642","latvia","57.0","25.0","571822773304405","lithuania","55.5","24.0","1298","travel counts"
"2021-06-25","627913770953274","sweden","61.0","15.0","623759951440132","norway","61.0","8.0","3469","travel counts"
"2021-06-25","314322742593141","denmark","56.0","10.0","623759951440132","norway","61.0","8.0","1014","travel counts"
"2021-06-25","711084376012350","vietnam","14.016666666667","107.9","2367165386637842","brazil","-11.0","-53.0","1147","travel counts"
"2021-06-25","2414720828591431","romania","46.0","25.0","616857608787515","hungary","47.0","19.0","7262","travel counts"
"2021-06-25","2282619438622633","austria","48.0","14.0","616857608787515","hungary","47.0","19.0","19026","travel counts"
"2021-06-25","417158592211893","india","21.0","77.0","376031519676735","bangladesh","24.016667","89.866667","14469","travel counts"
"2021-06-25","400835317162981","croatia","45.25","15.466667","616857608787515","hungary","47.0","19.0","1623","travel counts"
"2021-06-25","351886962112263","italy","43.0","12.0","616857608787515","hungary","47.0","19.0","2300","travel counts"
"2021-06-25","2414720828591431","romania","46.0","25.0","351785358793117","greece","39.0","22.0","3026","travel counts"
"2021-06-25","2414720828591431","romania","46.0","25.0","1317763431707213","germany","51.0","10.0","6500","travel counts"
"2021-06-25","2247289335332676","turkey","39.0","36.0","2414720828591431","romania","46.0","25.0","1770","travel counts"
"2021-06-25","2247289335332676","turkey","39.0","36.0","1317763431707213","germany","51.0","10.0","2896","travel counts"
"2021-06-25","2247289335332676","turkey","39.0","36.0","351785358793117","greece","39.0","22.0","3242","travel counts"
"2021-06-25","1231810770328071","poland","52.0","19.0","351785358793117","greece","39.0","22.0","1877","travel counts"
"2021-06-25","1231810770328071","poland","52.0","19.0","1317763431707213","germany","51.0","10.0","20124","travel counts"
"2021-06-25","627913770953274","sweden","61.0","15.0","1317763431707213","germany","51.0","10.0","3862","travel counts"
"2021-06-25","351785358793117","greece","39.0","22.0","2414720828591431","romania","46.0","25.0","1898","travel counts"
"2021-06-25","351785358793117","greece","39.0","22.0","1317763431707213","germany","51.0","10.0","2642","travel counts"
"2021-06-25","680120905754069","france","47.0","2.0","2414720828591431","romania","46.0","25.0","1224","travel counts"
"2021-06-25","680120905754069","france","47.0","2.0","351785358793117","greece","39.0","22.0","1628","travel counts"
"2021-06-25","680120905754069","france","47.0","2.0","1317763431707213","germany","51.0","10.0","19570","travel counts"
"2021-06-25","404888597011746","luxembourg","49.77","6.13","1317763431707213","germany","51.0","10.0","6155","travel counts"
"2021-06-25","549126165612289","nepal","26.533333333333","86.733333333333","417158592211893","india","21.0","77.0","15880","travel counts"
"2021-06-25","401821703703677","serbia","43.95","20.933333333333","351785358793117","greece","39.0","22.0","1205","travel counts"
"2021-06-25","810648062654687","canada","56.0","-109.0","343315869635106","philippines","11.333330555556","123.01666944444","1040","travel counts"
"2021-06-25","376031519676735","bangladesh","24.016667","89.866667","417158592211893","india","21.0","77.0","13969","travel counts"
"2021-06-25","937148070010051","united states","40.0","-100.0","417158592211893","india","21.0","77.0","1428","travel counts"
"2021-06-25","937148070010051","united states","40.0","-100.0","343315869635106","philippines","11.333330555556","123.01666944444","2415","travel counts"
"2021-06-25","937148070010051","united states","40.0","-100.0","1317763431707213","germany","51.0","10.0","2493","travel counts"
"2021-06-25","937148070010051","united states","40.0","-100.0","601856040330843","jamaica","18.1823878","-77.3217773","3755","travel counts"
"2021-06-25","2272551262804931","albania","41.0","20.0","351785358793117","greece","39.0","22.0","1037","travel counts"
"2021-06-25","343315869635106","philippines","11.333330555556","123.01666944444","417158592211893","india","21.0","77.0","1378","travel counts"
"2021-06-25","937148070010051","united states","40.0","-100.0","792883017828749","mexico","23.316667","-102.366667","123902","travel counts"
"2021-06-25","433497307408292","thailand","15.0","101.0","642311629554632","cambodia","12.733333","105.666667","5363","travel counts"
"2021-06-25","711084376012350","vietnam","14.016666666667","107.9","642311629554632","cambodia","12.733333","105.666667","3887","travel counts"
"2021-06-25","400835317162981","croatia","45.25","15.466667","321538001884900","bosnia and herzegovina","44.0","18.0","6836","travel counts"
"2021-06-25","351886962112263","italy","43.0","12.0","417045315510881","czech republic","50.0","16.0","1151","travel counts"
"2021-06-25","401821703703677","serbia","43.95","20.933333333333","321538001884900","bosnia and herzegovina","44.0","18.0","4169","travel counts"
"2021-06-25","616857608787515","hungary","47.0","19.0","417045315510881","czech republic","50.0","16.0","1953","travel counts"
"2021-06-25","346733206197678","indonesia","-0.8349","113.4668","419634095534324","malaysia","2.316667","111.55","5074","travel counts"
"2021-06-25","427725857796526","paraguay","-23.266667","-58.083333","921744301497079","argentina","-34.0","-64.0","1974","travel counts"
"2021-06-25","680120905754069","france","47.0","2.0","852597565113521","united kingdom","54.0","-2.0","5422","travel counts"
"2021-06-25","1080265735511471","spain","40.0","-3.0","852597565113521","united kingdom","54.0","-2.0","2615","travel counts"
"2021-06-25","937148070010051","united states","40.0","-100.0","852597565113521","united kingdom","54.0","-2.0","1772","travel counts"
"2021-06-25","627913770953274","sweden","61.0","15.0","1080265735511471","spain","40.0","-3.0","1672","travel counts"
"2021-06-25","1080265735511471","spain","40.0","-3.0","2248438692082669","andorra","42.558333333333","1.5552777777778","2451","travel counts"
"2021-06-25","2248438692082669","andorra","42.558333333333","1.5552777777778","1080265735511471","spain","40.0","-3.0","1495","travel counts"
