"ds","polygon1_id","polygon1_name","latitude1","longitude1","polygon2_id","polygon2_name","latitude2","longitude2","metric_value","metric_name"
"2021-07-13","365511357395737","laos","19.366667","102.566667","711084376012350","vietnam","14.016666666667","107.9","7386","travel counts"
"2021-07-13","419634095534324","malaysia","2.316667","111.55","346733206197678","indonesia","-0.8349","113.4668","5267","travel counts"
"2021-07-13","661116984348270","el salvador","13.668889","-88.866111","414218989431133","honduras","14.633333","-86.816667","1241","travel counts"
"2021-07-13","1317763431707213","germany","51.0","10.0","404888597011746","luxembourg","49.77","6.13","6533","travel counts"
"2021-07-13","401821703703677","serbia","43.95","20.933333333333","2230412020541290","montenegro","42.766667","19.216667","3721","travel counts"
"2021-07-13","376031519676735","bangladesh","24.016667","89.866667","851705715169048","saudi arabia","23.716667","44.116667","1709","travel counts"
"2021-07-13","384833669025234","slovenia","46.0","15.0","1317763431707213","germany","51.0","10.0","2373","travel counts"
"2021-07-13","425473528186094","switzerland","46.798562","8.231973","1317763431707213","germany","51.0","10.0","10901","travel counts"
"2021-07-13","2414720828591431","romania","46.0","25.0","351785358793117","greece","39.0","22.0","2953","travel counts"
"2021-07-13","2414720828591431","romania","46.0","25.0","1317763431707213","germany","51.0","10.0","5347","travel counts"
"2021-07-13","833225000389252","slovakia","49.0","20.0","1317763431707213","germany","51.0","10.0","2384","travel counts"
"2021-07-13","376031519676735","bangladesh","24.016667","89.866667","417158592211893","india","21.0","77.0","14076","travel counts"
"2021-07-13","1317763431707213","germany","51.0","10.0","627913770953274","sweden","61.0","15.0","3839","travel counts"
"2021-07-13","937148070010051","united states","40.0","-100.0","792883017828749","mexico","23.316667","-102.366667","95823","travel counts"
"2021-07-13","420975545355368","jordan","31.016667","36.616667","413890222743884","palestine","31.625321","35.145264","1063","travel counts"
"2021-07-13","427725857796526","paraguay","-23.266667","-58.083333","2367165386637842","brazil","-11.0","-53.0","8558","travel counts"
"2021-07-13","937148070010051","united states","40.0","-100.0","362070071076950","netherlands","52.316666666667","5.55","1004","travel counts"
"2021-07-13","852597565113521","united kingdom","54.0","-2.0","312478709447704","portugal","38.7","-9.1833333333333","1418","travel counts"
"2021-07-13","852597565113521","united kingdom","54.0","-2.0","362070071076950","netherlands","52.316666666667","5.55","2239","travel counts"
"2021-07-13","1231810770328071","poland","52.0","19.0","833225000389252","slovakia","49.0","20.0","2953","travel counts"
"2021-07-13","1231810770328071","poland","52.0","19.0","362070071076950","netherlands","52.316666666667","5.55","3404","travel counts"
"2021-07-13","433497307408292","thailand","15.0","101.0","346733206197678","indonesia","-0.8349","113.4668","2545","travel counts"
"2021-07-13","1317763431707213","germany","51.0","10.0","321538001884900","bosnia and herzegovina","44.0","18.0","1357","travel counts"
"2021-07-13","1317763431707213","germany","51.0","10.0","417045315510881","czech republic","50.0","16.0","10744","travel counts"
"2021-07-13","817571401952819","qatar","25.269535","51.212767","851705715169048","saudi arabia","23.716667","44.116667","1019","travel counts"
"2021-07-13","343315869635106","philippines","11.333330555556","123.01666944444","851705715169048","saudi arabia","23.716667","44.116667","3746","travel counts"
"2021-07-13","351886962112263","italy","43.0","12.0","806572816378642","tunisia","34.0","9.0","1136","travel counts"
"2021-07-13","731553183908171","kosovo","42.6","20.85","2230412020541290","montenegro","42.766667","19.216667","1369","travel counts"
"2021-07-13","597585864063467","united arab emirates","23.783333","54.0","817571401952819","qatar","25.269535","51.212767","1205","travel counts"
"2021-07-13","627913770953274","sweden","61.0","15.0","314322742593141","denmark","56.0","10.0","9717","travel counts"
"2021-07-13","351886962112263","italy","43.0","12.0","429706144459641","malta","35.8854","14.4302","1525","travel counts"
"2021-07-13","921744301497079","argentina","-34.0","-64.0","2367165386637842","brazil","-11.0","-53.0","2690","travel counts"
"2021-07-13","1317763431707213","germany","51.0","10.0","1080265735511471","spain","40.0","-3.0","7543","travel counts"
"2021-07-13","475814519825093","belgium","51.0","5.0","1231810770328071","poland","52.0","19.0","1100","travel counts"
"2021-07-13","314322742593141","denmark","56.0","10.0","1231810770328071","poland","52.0","19.0","1134","travel counts"
"2021-07-13","680120905754069","france","47.0","2.0","937148070010051","united states","40.0","-100.0","1386","travel counts"
