ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-07-25,937148070010051,united states,40.0,-100.0,452507115497292,nigeria,9.0,8.0,3148,travel counts
2020-07-25,343315869635106,philippines,11.333330555556,123.01666944444,817571401952819,qatar,25.269535,51.212767,1145,travel counts
2020-07-25,433497307408292,thailand,15.0,101.0,365511357395737,laos,19.366667,102.566667,10473,travel counts
2020-07-25,2367165386637842,brazil,-11.0,-53.0,937148070010051,united states,40.0,-100.0,1046,travel counts
2020-07-25,2272822426127539,puerto rico,18.25,-66.5,937148070010051,united states,40.0,-100.0,4341,travel counts
2020-07-25,1046047628918648,dominican republic,19.0,-70.666667,937148070010051,united states,40.0,-100.0,2018,travel counts
2020-07-25,657349034710714,colombia,3.816667,-73.916667,937148070010051,united states,40.0,-100.0,1464,travel counts
2020-07-25,571822773304405,lithuania,55.5,24.0,1317763431707213,germany,51.0,10.0,1100,travel counts
2020-07-25,680120905754069,france,47.0,2.0,2414720828591431,romania,46.0,25.0,1529,travel counts
2020-07-25,680120905754069,france,47.0,2.0,351785358793117,greece,39.0,22.0,1621,travel counts
2020-07-25,937148070010051,united states,40.0,-100.0,601856040330843,jamaica,18.1823878,-77.3217773,1006,travel counts
2020-07-25,937148070010051,united states,40.0,-100.0,417158592211893,india,21.0,77.0,1588,travel counts
2020-07-25,937148070010051,united states,40.0,-100.0,343315869635106,philippines,11.333330555556,123.01666944444,2585,travel counts
2020-07-25,343315869635106,philippines,11.333330555556,123.01666944444,417158592211893,india,21.0,77.0,2285,travel counts
2020-07-25,549126165612289,nepal,26.533333333333,86.733333333333,417158592211893,india,21.0,77.0,12997,travel counts
2020-07-25,376031519676735,bangladesh,24.016667,89.866667,417158592211893,india,21.0,77.0,18176,travel counts
2020-07-25,314322742593141,denmark,56.0,10.0,1317763431707213,germany,51.0,10.0,16863,travel counts
2020-07-25,1317763431707213,germany,51.0,10.0,351785358793117,greece,39.0,22.0,4828,travel counts
2020-07-25,680120905754069,france,47.0,2.0,1317763431707213,germany,51.0,10.0,27094,travel counts
2020-07-25,597585864063467,united arab emirates,23.783333,54.0,343315869635106,philippines,11.333330555556,123.01666944444,2020,travel counts
2020-07-25,597585864063467,united arab emirates,23.783333,54.0,417158592211893,india,21.0,77.0,4557,travel counts
2020-07-25,1268336069999928,kazakhstan,48.0,68.0,417158592211893,india,21.0,77.0,1907,travel counts
2020-07-25,1317763431707213,germany,51.0,10.0,2414720828591431,romania,46.0,25.0,9696,travel counts
2020-07-25,2414720828591431,romania,46.0,25.0,351785358793117,greece,39.0,22.0,1842,travel counts
2020-07-25,2414720828591431,romania,46.0,25.0,1317763431707213,germany,51.0,10.0,8419,travel counts
2020-07-25,414218989431133,honduras,14.633333,-86.816667,417158592211893,india,21.0,77.0,1063,travel counts
2020-07-25,2247289335332676,turkey,39.0,36.0,417158592211893,india,21.0,77.0,1153,travel counts
2020-07-25,2247289335332676,turkey,39.0,36.0,351785358793117,greece,39.0,22.0,1376,travel counts
2020-07-25,2247289335332676,turkey,39.0,36.0,1317763431707213,germany,51.0,10.0,2980,travel counts
2020-07-25,623759951440132,norway,61.0,8.0,1317763431707213,germany,51.0,10.0,1464,travel counts
