"ds","polygon1_id","polygon1_name","latitude1","longitude1","polygon2_id","polygon2_name","latitude2","longitude2","metric_value","metric_name"
"2021-05-14","346733206197678","indonesia","-0.8349","113.4668","463167797558589","taiwan","24.0","121.0","2484","travel counts"
"2021-05-14","627913770953274","sweden","61.0","15.0","314322742593141","denmark","56.0","10.0","5853","travel counts"
"2021-05-14","1317763431707213","germany","51.0","10.0","852597565113521","united kingdom","54.0","-2.0","1166","travel counts"
"2021-05-14","417158592211893","india","21.0","77.0","852597565113521","united kingdom","54.0","-2.0","1321","travel counts"
"2021-05-14","680120905754069","france","47.0","2.0","852597565113521","united kingdom","54.0","-2.0","4505","travel counts"
"2021-05-14","362070071076950","netherlands","52.316666666667","5.55","852597565113521","united kingdom","54.0","-2.0","1594","travel counts"
"2021-05-14","1693686944068084","ireland","53.4469834801","-7.08056729059","852597565113521","united kingdom","54.0","-2.0","10760","travel counts"
"2021-05-14","2414720828591431","romania","46.0","25.0","852597565113521","united kingdom","54.0","-2.0","1701","travel counts"
"2021-05-14","475814519825093","belgium","51.0","5.0","852597565113521","united kingdom","54.0","-2.0","1273","travel counts"
"2021-05-14","937148070010051","united states","40.0","-100.0","852597565113521","united kingdom","54.0","-2.0","1088","travel counts"
"2021-05-14","1317763431707213","germany","51.0","10.0","407219260067826","bulgaria","42.75","25.5","1170","travel counts"
"2021-05-14","2247289335332676","turkey","39.0","36.0","407219260067826","bulgaria","42.75","25.5","1556","travel counts"
"2021-05-14","2367165386637842","brazil","-11.0","-53.0","427725857796526","paraguay","-23.266667","-58.083333","7829","travel counts"
"2021-05-14","343315869635106","philippines","11.333330555556","123.01666944444","810648062654687","canada","56.0","-109.0","1243","travel counts"
"2021-05-14","2414720828591431","romania","46.0","25.0","407219260067826","bulgaria","42.75","25.5","3757","travel counts"
"2021-05-14","921744301497079","argentina","-34.0","-64.0","427725857796526","paraguay","-23.266667","-58.083333","2045","travel counts"
"2021-05-14","937148070010051","united states","40.0","-100.0","810648062654687","canada","56.0","-109.0","14007","travel counts"
"2021-05-14","351785358793117","greece","39.0","22.0","407219260067826","bulgaria","42.75","25.5","2730","travel counts"
"2021-05-14","1237068956456866","kuwait","29.166667","47.6","2419372088349100","iraq","33.0","43.0","1901","travel counts"
"2021-05-14","296001557980979","uzbekistan","41.666667","64.066667","405132336971648","kyrgyzstan","41.266667","74.983333","1100","travel counts"
"2021-05-14","852597565113521","united kingdom","54.0","-2.0","1693686944068084","ireland","53.4469834801","-7.08056729059","9918","travel counts"
"2021-05-14","2367165386637842","brazil","-11.0","-53.0","606189189846925","uruguay","-32.733333","-56.65","3196","travel counts"
"2021-05-14","1317763431707213","germany","51.0","10.0","384833669025234","slovenia","46.0","15.0","1642","travel counts"
