ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-12-28,351886962112263,italy,43.0,12.0,852597565113521,united kingdom,54.0,-2.0,1369,travel counts
2020-12-28,433497307408292,thailand,15.0,101.0,346733206197678,indonesia,-0.8349,113.4668,2018,travel counts
2020-12-28,1693686944068084,ireland,53.4469834801,-7.08056729059,852597565113521,united kingdom,54.0,-2.0,7421,travel counts
2020-12-28,312478709447704,portugal,38.7,-9.1833333333333,852597565113521,united kingdom,54.0,-2.0,1281,travel counts
2020-12-28,597585864063467,united arab emirates,23.783333,54.0,852597565113521,united kingdom,54.0,-2.0,1600,travel counts
2020-12-28,1317763431707213,germany,51.0,10.0,852597565113521,united kingdom,54.0,-2.0,1092,travel counts
2020-12-28,1231810770328071,poland,52.0,19.0,852597565113521,united kingdom,54.0,-2.0,1296,travel counts
2020-12-28,362070071076950,netherlands,52.316666666667,5.55,852597565113521,united kingdom,54.0,-2.0,1535,travel counts
2020-12-28,937148070010051,united states,40.0,-100.0,852597565113521,united kingdom,54.0,-2.0,1153,travel counts
2020-12-28,1080265735511471,spain,40.0,-3.0,852597565113521,united kingdom,54.0,-2.0,4822,travel counts
2020-12-28,680120905754069,france,47.0,2.0,852597565113521,united kingdom,54.0,-2.0,4148,travel counts
2020-12-28,417158592211893,india,21.0,77.0,346733206197678,indonesia,-0.8349,113.4668,3142,travel counts
2020-12-28,419634095534324,malaysia,2.316667,111.55,346733206197678,indonesia,-0.8349,113.4668,6483,travel counts
2020-12-28,463167797558589,taiwan,24.0,121.0,346733206197678,indonesia,-0.8349,113.4668,3490,travel counts
2020-12-28,853970694951300,south korea,36.0,128.0,346733206197678,indonesia,-0.8349,113.4668,1084,travel counts
2020-12-28,1983580781764432,peru,-8.0,-78.0,381900512398634,ecuador,-1.4666666666667,-78.816666666667,1128,travel counts
2020-12-28,331955067734176,finland,64.0,26.0,627913770953274,sweden,61.0,15.0,1890,travel counts
2020-12-28,1317763431707213,germany,51.0,10.0,627913770953274,sweden,61.0,15.0,1226,travel counts
2020-12-28,417158592211893,india,21.0,77.0,376031519676735,bangladesh,24.016667,89.866667,16017,travel counts
2020-12-28,314322742593141,denmark,56.0,10.0,627913770953274,sweden,61.0,15.0,2745,travel counts
2020-12-28,1231810770328071,poland,52.0,19.0,627913770953274,sweden,61.0,15.0,1491,travel counts
2020-12-28,627913770953274,sweden,61.0,15.0,331955067734176,finland,64.0,26.0,1397,travel counts
2020-12-28,2419372088349100,iraq,33.0,43.0,1237068956456866,kuwait,29.166667,47.6,2169,travel counts
2020-12-28,2282619438622633,austria,48.0,14.0,616857608787515,hungary,47.0,19.0,1947,travel counts
2020-12-28,711084376012350,vietnam,14.016666666667,107.9,376031519676735,bangladesh,24.016667,89.866667,1073,travel counts
2020-12-28,401821703703677,serbia,43.95,20.933333333333,616857608787515,hungary,47.0,19.0,1008,travel counts
2020-12-28,505239163341639,estonia,59.0,26.0,331955067734176,finland,64.0,26.0,3343,travel counts
2020-12-28,2414720828591431,romania,46.0,25.0,616857608787515,hungary,47.0,19.0,2518,travel counts
2020-12-28,833225000389252,slovakia,49.0,20.0,616857608787515,hungary,47.0,19.0,2276,travel counts
2020-12-28,417158592211893,india,21.0,77.0,549126165612289,nepal,26.533333333333,86.733333333333,16162,travel counts
2020-12-28,937148070010051,united states,40.0,-100.0,661116984348270,el salvador,13.668889,-88.866111,1848,travel counts
2020-12-28,366682297538943,pakistan,29.0,69.0,597585864063467,united arab emirates,23.783333,54.0,3574,travel counts
2020-12-28,376031519676735,bangladesh,24.016667,89.866667,597585864063467,united arab emirates,23.783333,54.0,1231,travel counts
2020-12-28,343315869635106,philippines,11.333330555556,123.01666944444,597585864063467,united arab emirates,23.783333,54.0,1909,travel counts
2020-12-28,401821703703677,serbia,43.95,20.933333333333,475814519825093,belgium,51.0,5.0,1203,travel counts
2020-12-28,1317763431707213,germany,51.0,10.0,475814519825093,belgium,51.0,5.0,4784,travel counts
2020-12-28,1231810770328071,poland,52.0,19.0,475814519825093,belgium,51.0,5.0,1359,travel counts
2020-12-28,362070071076950,netherlands,52.316666666667,5.55,475814519825093,belgium,51.0,5.0,19866,travel counts
2020-12-28,417158592211893,india,21.0,77.0,597585864063467,united arab emirates,23.783333,54.0,6323,travel counts
2020-12-28,419387851957862,egypt,26.0,29.0,597585864063467,united arab emirates,23.783333,54.0,1325,travel counts
2020-12-28,404888597011746,luxembourg,49.77,6.13,475814519825093,belgium,51.0,5.0,2638,travel counts
2020-12-28,852597565113521,united kingdom,54.0,-2.0,475814519825093,belgium,51.0,5.0,1126,travel counts
2020-12-28,852597565113521,united kingdom,54.0,-2.0,597585864063467,united arab emirates,23.783333,54.0,2633,travel counts
2020-12-28,1080265735511471,spain,40.0,-3.0,475814519825093,belgium,51.0,5.0,1394,travel counts
2020-12-28,680120905754069,france,47.0,2.0,475814519825093,belgium,51.0,5.0,25633,travel counts
2020-12-28,937148070010051,united states,40.0,-100.0,452507115497292,nigeria,9.0,8.0,4427,travel counts
2020-12-28,731553183908171,kosovo,42.6,20.85,401821703703677,serbia,43.95,20.933333333333,2694,travel counts
2020-12-28,937148070010051,united states,40.0,-100.0,2214566348625267,costa rica,10.0,-84.0,1894,travel counts
2020-12-28,2248438692082669,andorra,42.558333333333,1.5552777777778,680120905754069,france,47.0,2.0,1111,travel counts
2020-12-28,351886962112263,italy,43.0,12.0,680120905754069,france,47.0,2.0,4941,travel counts
2020-12-28,806572816378642,tunisia,34.0,9.0,680120905754069,france,47.0,2.0,1151,travel counts
2020-12-28,312478709447704,portugal,38.7,-9.1833333333333,680120905754069,france,47.0,2.0,4162,travel counts
2020-12-28,1317763431707213,germany,51.0,10.0,680120905754069,france,47.0,2.0,7459,travel counts
2020-12-28,1231810770328071,poland,52.0,19.0,680120905754069,france,47.0,2.0,1352,travel counts
2020-12-28,362070071076950,netherlands,52.316666666667,5.55,680120905754069,france,47.0,2.0,3102,travel counts
2020-12-28,321538001884900,bosnia and herzegovina,44.0,18.0,400835317162981,croatia,45.25,15.466667,2673,travel counts
2020-12-28,404888597011746,luxembourg,49.77,6.13,680120905754069,france,47.0,2.0,4681,travel counts
2020-12-28,425473528186094,switzerland,46.798562,8.231973,680120905754069,france,47.0,2.0,12934,travel counts
2020-12-28,852597565113521,united kingdom,54.0,-2.0,680120905754069,france,47.0,2.0,4101,travel counts
2020-12-28,1080265735511471,spain,40.0,-3.0,680120905754069,france,47.0,2.0,12279,travel counts
2020-12-28,475814519825093,belgium,51.0,5.0,680120905754069,france,47.0,2.0,19467,travel counts
2020-12-28,731553183908171,kosovo,42.6,20.85,2272551262804931,albania,41.0,20.0,1707,travel counts
2020-12-28,417045315510881,czech republic,50.0,16.0,833225000389252,slovakia,49.0,20.0,3169,travel counts
2020-12-28,475814519825093,belgium,51.0,5.0,362070071076950,netherlands,52.316666666667,5.55,17325,travel counts
2020-12-28,680120905754069,france,47.0,2.0,362070071076950,netherlands,52.316666666667,5.55,3211,travel counts
2020-12-28,680120905754069,france,47.0,2.0,312478709447704,portugal,38.7,-9.1833333333333,4047,travel counts
2020-12-28,1317763431707213,germany,51.0,10.0,314322742593141,denmark,56.0,10.0,2730,travel counts
2020-12-28,627913770953274,sweden,61.0,15.0,314322742593141,denmark,56.0,10.0,3528,travel counts
2020-12-28,937148070010051,united states,40.0,-100.0,792883017828749,mexico,23.316667,-102.366667,76579,travel counts
2020-12-28,384833669025234,slovenia,46.0,15.0,2282619438622633,austria,48.0,14.0,3440,travel counts
2020-12-28,597585864063467,united arab emirates,23.783333,54.0,366682297538943,pakistan,29.0,69.0,2856,travel counts
2020-12-28,2318040415151986,algeria,28.0,2.0,419387851957862,egypt,26.0,29.0,1338,travel counts
2020-12-28,1317763431707213,germany,51.0,10.0,2282619438622633,austria,48.0,14.0,6401,travel counts
2020-12-28,1231810770328071,poland,52.0,19.0,2282619438622633,austria,48.0,14.0,1069,travel counts
2020-12-28,833225000389252,slovakia,49.0,20.0,2282619438622633,austria,48.0,14.0,2888,travel counts
2020-12-28,417158592211893,india,21.0,77.0,366682297538943,pakistan,29.0,69.0,5122,travel counts
2020-12-28,2414720828591431,romania,46.0,25.0,2282619438622633,austria,48.0,14.0,1224,travel counts
2020-12-28,616857608787515,hungary,47.0,19.0,2282619438622633,austria,48.0,14.0,12109,travel counts
2020-12-28,417045315510881,czech republic,50.0,16.0,2282619438622633,austria,48.0,14.0,2283,travel counts
