,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.0,0.0,0.17391595302782406
1,date,0.15136618140703578,0.0013646338538721569,0.17391595302782406
2,new_cases_per_million_i,0.0026745346770232605,0.00020312667932626837,0.17391595302782406
3,new_deaths_per_million_i,0.0008619855179625796,0.00017057755792861278,0.17391595302782406
4,new_cases_per_million_j,-7.033589984154764e-05,1.49130034116865e-05,0.17391595302782406
5,new_deaths_per_million_j,0.022830183860094895,0.0005167002879068515,0.17391595302782406
6,c1_schoolclosing_i,0.020077299427667727,0.0003571530606131311,0.17391595302782406
7,c1_schoolclosing_j,0.006518866540459844,0.00031992054564833626,0.17391595302782406
8,c2_workplaceclosing_i,0.01500029981202709,0.0003417605785973621,0.17391595302782406
9,c2_workplaceclosing_j,0.005825439645127961,0.00025535826084937326,0.17391595302782406
10,c3_cancel_events_i,0.00010415530076098301,1.8337588609834448e-05,0.17391595302782406
11,c3_cancel_events_j,0.001956173489636881,0.0001594646401405608,0.17391595302782406
12,c4_restr_gather_i,0.017321705343102647,0.0004899139755318977,0.17391595302782406
13,c4_restr_gather_j,0.0030466885584565116,0.00014442121046519341,0.17391595302782406
14,c5_closepublictransport_i,0.005912504173890745,0.0002431816533939354,0.17391595302782406
15,c5_closepublictransport_j,0.002801937105034455,0.00029054707265250624,0.17391595302782406
16,c6_stay_home_i,0.017414003365354737,0.0004918867716943037,0.17391595302782406
17,c6_stay_home_j,0.00945076082337426,0.0004055610376688079,0.17391595302782406
18,c7_restr_internal_move_i,0.0005736660424342621,5.905589359501114e-05,0.17391595302782406
19,c7_restr_internal_move_j,0.005177038942650558,0.00033903067164302444,0.17391595302782406
20,c8_int_trvl_controls_i,1.828542684964851e-05,6.466362143627405e-06,0.17391595302782406
21,c8_int_trvl_controls_j,0.003798378861593141,0.00029643839127673415,0.17391595302782406
22,h2_testingpolicy_i,0.0047411256624793315,0.00028062810386881285,0.17391595302782406
23,h2_testingpolicy_j,-2.6675065839532053e-07,8.650497726881788e-05,0.17391595302782406
24,h3_contacttracing_i,-0.0003136736645895505,6.0753436468024794e-05,0.17391595302782406
25,h3_contacttracing_j,0.0003595104874850374,6.267750631527768e-05,0.17391595302782406
