,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.09848719139125496,0.0005968043396794167,0.13162160208479942
1,date,0.13747444273033524,0.0010736701312380056,0.13162160208479942
2,new_cases_per_million_i,0.0035858818624125515,0.00011631099370897089,0.13162160208479942
3,new_deaths_per_million_i,5.702592993973021e-05,4.4218913506101746e-05,0.13162160208479942
4,new_cases_per_million_j,0.0038024244247965217,0.00012830161616378733,0.13162160208479942
5,new_deaths_per_million_j,0.0019869644317130923,6.527215878358724e-05,0.13162160208479942
6,c1_schoolclosing_i,0.03344391475560077,0.00043110467963470905,0.13162160208479942
7,c1_schoolclosing_j,0.0313461982082411,0.00039863142397372195,0.13162160208479942
8,c2_workplaceclosing_i,0.00021676496261030244,3.107527680960515e-05,0.13162160208479942
9,c2_workplaceclosing_j,0.001461966011640148,0.00011904366130080821,0.13162160208479942
10,c3_cancel_events_i,0.0033039819532814374,0.00019597658505510597,0.13162160208479942
11,c3_cancel_events_j,0.0063462312152922085,0.0001773824881989764,0.13162160208479942
12,c4_restr_gather_i,0.016720134972906864,0.0005325050982065631,0.13162160208479942
13,c4_restr_gather_j,0.0019574463217470806,6.962685803060855e-05,0.13162160208479942
14,c5_closepublictransport_i,0.006033324887421315,0.00015308192097668126,0.13162160208479942
15,c5_closepublictransport_j,0.011293734130186769,0.00025629411491103095,0.13162160208479942
16,c6_stay_home_i,0.030674754204142007,0.0001977854405642402,0.13162160208479942
17,c6_stay_home_j,0.005616201423345774,0.00015925200955563265,0.13162160208479942
18,c7_restr_internal_move_i,-6.0712171124588374e-05,4.9552330434629714e-05,0.13162160208479942
19,c7_restr_internal_move_j,0.004280260327601695,0.00016869604931697842,0.13162160208479942
20,c8_int_trvl_controls_i,0.0003477065300812321,5.516383341195837e-05,0.13162160208479942
21,c8_int_trvl_controls_j,-2.7340677113182888e-05,2.4959458364411316e-05,0.13162160208479942
22,h2_testingpolicy_i,0.004662451916626909,0.00024907341683048744,0.13162160208479942
23,h2_testingpolicy_j,0.0027895148133311844,0.0001112679512575326,0.13162160208479942
24,h3_contacttracing_i,0.0017584859875550169,0.00011690346871617597,0.13162160208479942
25,h3_contacttracing_j,0.01019312712062693,0.0003055291974345287,0.13162160208479942
