,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.0,0.0,0.04799531481653724
1,date,0.0,0.0,0.04799531481653724
2,new_cases_per_million_i,0.04888182433256121,0.0006861989704240542,0.04799531481653724
3,new_deaths_per_million_i,0.016731255790332723,0.0003088942961069361,0.04799531481653724
4,new_cases_per_million_j,0.017491573039070396,0.0003162094585083344,0.04799531481653724
5,new_deaths_per_million_j,0.025765000874957006,0.00030944777302503756,0.04799531481653724
6,c1_schoolclosing_i,0.04401596729809969,0.00037174222960426056,0.04799531481653724
7,c1_schoolclosing_j,0.055166929426093914,0.0007501778187449537,0.04799531481653724
8,c2_workplaceclosing_i,0.04406982975936626,0.0005129775394066662,0.04799531481653724
9,c2_workplaceclosing_j,0.04367009023564166,0.0003857726815622949,0.04799531481653724
10,c3_cancel_events_i,0.05375515752641432,0.00040598436558817954,0.04799531481653724
11,c3_cancel_events_j,0.05510210235530113,0.0004913261369202318,0.04799531481653724
12,c4_restr_gather_i,0.045971693217676204,0.0005088035709906788,0.04799531481653724
13,c4_restr_gather_j,0.04010272921556438,0.00048767031433254865,0.04799531481653724
14,c5_closepublictransport_i,0.05597858250928114,0.0004953177234896785,0.04799531481653724
15,c5_closepublictransport_j,0.04125088264643334,0.000505208426189595,0.04799531481653724
16,c6_stay_home_i,0.04067661669546373,0.000511303392664936,0.04799531481653724
17,c6_stay_home_j,0.047961773129837605,0.0007914568142524772,0.04799531481653724
18,c7_restr_internal_move_i,0.06747776562654961,0.000629290240116491,0.04799531481653724
19,c7_restr_internal_move_j,0.06924828343133912,0.0005618247475796963,0.04799531481653724
20,c8_int_trvl_controls_i,0.024646059810593274,0.00037820104809444097,0.04799531481653724
21,c8_int_trvl_controls_j,0.04951068942715975,0.0004992687936419165,0.04799531481653724
22,h2_testingpolicy_i,0.04045961570833667,0.00043734318796011273,0.04799531481653724
23,h2_testingpolicy_j,0.03292010002845192,0.000442692869177737,0.04799531481653724
24,h3_contacttracing_i,0.050918212357472535,0.0005410090192408983,0.04799531481653724
25,h3_contacttracing_j,0.03316431166048953,0.0005014514057003414,0.04799531481653724
