,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.1393870744472328,0.0005576420559670823,0.0
1,date,0.05756950460300366,0.0007039447935994406,0.0
2,new_cases_per_million_i,0.0050959838437162185,8.132187184749512e-05,0.0
3,new_deaths_per_million_i,0.005924469164393693,8.603707523674845e-05,0.0
4,new_cases_per_million_j,0.005135969615500868,9.127775696099618e-05,0.0
5,new_deaths_per_million_j,0.006323099232550225,8.415009611883452e-05,0.0
6,c1_schoolclosing_i,0.013293477768037135,0.0002628526096168803,0.0
7,c1_schoolclosing_j,0.01220968898100507,0.0002407914412491426,0.0
8,c2_workplaceclosing_i,0.007851785117083785,9.8895261559381e-05,0.0
9,c2_workplaceclosing_j,0.009037575506278104,0.00014745249479594666,0.0
10,c3_cancel_events_i,0.017005281330691704,0.0003111633712845675,0.0
11,c3_cancel_events_j,0.012777244818139846,0.0002400194690191886,0.0
12,c4_restr_gather_i,0.011178051681223558,0.0001942592996547677,0.0
13,c4_restr_gather_j,0.010808690114894378,0.00010409243858721846,0.0
14,c5_closepublictransport_i,0.005930302158463121,0.00010064047639385232,0.0
15,c5_closepublictransport_j,0.005756388544957482,0.00013317133729230426,0.0
16,c6_stay_home_i,0.006954658901630989,7.384694176976312e-05,0.0
17,c6_stay_home_j,0.006884014815716026,9.709771754422721e-05,0.0
18,c7_restr_internal_move_i,0.016167924103450394,0.0001678817927956223,0.0
19,c7_restr_internal_move_j,0.012960167733355626,0.00017020337341355792,0.0
20,c8_int_trvl_controls_i,0.005266650232914185,9.808391144365684e-05,0.0
21,c8_int_trvl_controls_j,0.006495908824940501,0.0001246435608399443,0.0
22,h2_testingpolicy_i,0.0058956118933925295,6.430673033986908e-05,0.0
23,h2_testingpolicy_j,0.005154993521447632,5.90755982651275e-05,0.0
24,h3_contacttracing_i,0.006519856468214902,0.0001330913329066331,0.0
25,h3_contacttracing_j,0.007601426128160106,0.0001611543595946059,0.0
