feature,Linear*,KNN*,G-Boost*,MLP*,avg_importance
Component_0_j,1.0,1.0000000000000002,1.0,1.0,1.0
Component_0_i,0.01840715933055006,0.788539953199157,0.19486177788262019,0.9164580562324407,0.479566736661192
Component_1_i,0.08360259965825724,0.40718892044891075,0.1675707131829264,0.3807412810152913,0.25977587857634643
New Covid cases O,0.0045859590836487135,0.0,0.17506316030400157,0.5456408365549272,0.18132248898564438
Component_1_j,0.007374160893145857,0.36096428219105003,0.0,0.32731832025244895,0.1739141908341612
New Covid deaths D,0.019982173050659073,0.011310992700305778,0.07817656928872446,0.2145070776380828,0.08099420316944303
New Covid deaths O,0.0011057256534820073,0.021203173327735025,0.02128276114131694,0.2262868221539966,0.06746962056913264
New Covid cases D,0.0,0.004657377328840306,0.01735215018948505,0.0,0.005502381879581339
