,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.0,0.0,0.0003004660974807405
1,date,0.0,0.0,0.0003004660974807405
2,new_cases_per_million_i,0.02445646544211655,0.00017667643558335938,0.0003004660974807405
3,new_deaths_per_million_i,0.02585363241686317,0.00023975710639868186,0.0003004660974807405
4,new_cases_per_million_j,0.02446347256689157,0.00029762305124394713,0.0003004660974807405
5,new_deaths_per_million_j,0.025771145469025463,0.00020541256105816656,0.0003004660974807405
6,c1_schoolclosing_i,0.049883135460181076,0.00044678260589028104,0.0003004660974807405
7,c1_schoolclosing_j,0.04979404397835602,0.0006766083018303074,0.0003004660974807405
8,c2_workplaceclosing_i,0.02806211567513684,0.0003573923797391193,0.0003004660974807405
9,c2_workplaceclosing_j,0.02812155088851014,0.0003538448296177867,0.0003004660974807405
10,c3_cancel_events_i,0.047232045977430095,0.0004941308055075366,0.0003004660974807405
11,c3_cancel_events_j,0.046982012746484274,0.0002795796029850518,0.0003004660974807405
12,c4_restr_gather_i,0.03512161756576033,0.0003845413093217876,0.0003004660974807405
13,c4_restr_gather_j,0.0352290191999023,0.00038328995514428304,0.0003004660974807405
14,c5_closepublictransport_i,0.022329306324644953,0.0002622159031047651,0.0003004660974807405
15,c5_closepublictransport_j,0.022252112341460864,9.126720788132014e-05,0.0003004660974807405
16,c6_stay_home_i,0.0244255714311163,0.00013960367550763052,0.0003004660974807405
17,c6_stay_home_j,0.02452871805722994,0.00028363101878568813,0.0003004660974807405
18,c7_restr_internal_move_i,0.053922671580479684,0.00033660118580940975,0.0003004660974807405
19,c7_restr_internal_move_j,0.05384593648350244,0.0005327970898537296,0.0003004660974807405
20,c8_int_trvl_controls_i,0.023930170926247166,0.00029439670291356984,0.0003004660974807405
21,c8_int_trvl_controls_j,0.024000538093401615,0.00020205565970136296,0.0003004660974807405
22,h2_testingpolicy_i,0.02408762621043148,0.000302181918070294,0.0003004660974807405
23,h2_testingpolicy_j,0.023872833230832936,0.0003525649781216002,0.0003004660974807405
24,h3_contacttracing_i,0.02749001241288033,0.0002989404397156633,0.0003004660974807405
25,h3_contacttracing_j,0.027401186130310812,0.0003310801166424542,0.0003004660974807405
