,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.09840366790455048,0.0009585362826658305,0.15502666701018064
1,date,0.0,0.0,0.15502666701018064
2,new_cases_per_million_i,0.004659888756279687,0.0001986307487567044,0.15502666701018064
3,new_deaths_per_million_i,0.00024129592284539425,0.00015666868817473673,0.15502666701018064
4,new_cases_per_million_j,0.004118849871910199,0.00017491336443277322,0.15502666701018064
5,new_deaths_per_million_j,0.00138037520780655,9.418144953969316e-05,0.15502666701018064
6,c1_schoolclosing_i,0.035388194148962625,0.0007653311993359213,0.15502666701018064
7,c1_schoolclosing_j,0.031375753979101875,0.0006306339505045398,0.15502666701018064
8,c2_workplaceclosing_i,0.003360192161820827,0.0001575591806185817,0.15502666701018064
9,c2_workplaceclosing_j,-0.00021164386142720758,0.00014300521431548358,0.15502666701018064
10,c3_cancel_events_i,0.002439958480267887,0.0002080342913107105,0.15502666701018064
11,c3_cancel_events_j,0.012675166916722533,0.00042738382713137385,0.15502666701018064
12,c4_restr_gather_i,0.007643622901537856,0.00030562316700893574,0.15502666701018064
13,c4_restr_gather_j,-0.00014780597922153249,8.712399299566922e-05,0.15502666701018064
14,c5_closepublictransport_i,0.0062401824968825485,0.00032238025718741035,0.15502666701018064
15,c5_closepublictransport_j,0.004972713067066955,0.00016155879089602832,0.15502666701018064
16,c6_stay_home_i,0.007100759022363334,0.0001943586714826829,0.15502666701018064
17,c6_stay_home_j,0.01103447579721865,0.0003891264794700403,0.15502666701018064
18,c7_restr_internal_move_i,0.00037655178150384214,0.00016630161090097268,0.15502666701018064
19,c7_restr_internal_move_j,0.0021805449830936408,0.00019781210639322662,0.15502666701018064
20,c8_int_trvl_controls_i,0.0039002514404339996,0.00023199527407543856,0.15502666701018064
21,c8_int_trvl_controls_j,-1.3173839095675931e-05,2.114243822899301e-05,0.15502666701018064
22,h2_testingpolicy_i,0.016297623934450365,0.0005552898311579451,0.15502666701018064
23,h2_testingpolicy_j,0.0021749777871103273,0.0001279560525901767,0.15502666701018064
24,h3_contacttracing_i,0.008792543688361468,0.00030346854753726264,0.15502666701018064
25,h3_contacttracing_j,0.0006498244421661748,5.667073366357986e-05,0.15502666701018064
