,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.0,0.0,0.027816201511743244
1,date,0.0,0.0,0.027816201511743244
2,new_cases_per_million_i,0.031891140909031924,0.0003587227056515804,0.027816201511743244
3,new_deaths_per_million_i,0.03200559177749499,0.0001832117881573023,0.027816201511743244
4,new_cases_per_million_j,0.027916204543508533,0.0005012946173297993,0.027816201511743244
5,new_deaths_per_million_j,0.030284173657844672,0.00031932468152297066,0.027816201511743244
6,c1_schoolclosing_i,0.050368444832976866,0.0007972990453144918,0.027816201511743244
7,c1_schoolclosing_j,0.028362934656461936,0.0003339063126377082,0.027816201511743244
8,c2_workplaceclosing_i,0.020946821310537645,0.00020153710894389273,0.027816201511743244
9,c2_workplaceclosing_j,0.013964812926241632,0.000199223267266111,0.027816201511743244
10,c3_cancel_events_i,0.024319803266284863,0.00023324519553686438,0.027816201511743244
11,c3_cancel_events_j,0.032823305113082825,0.00045363689154256427,0.027816201511743244
12,c4_restr_gather_i,0.03909314926943547,0.00047109716442938674,0.027816201511743244
13,c4_restr_gather_j,0.025894686630134122,0.0003369962355075366,0.027816201511743244
14,c5_closepublictransport_i,0.00901253753533568,0.00012986716073800682,0.027816201511743244
15,c5_closepublictransport_j,0.013579726429988708,0.00017839290173754,0.027816201511743244
16,c6_stay_home_i,0.015614958773088319,0.00019761108060577346,0.027816201511743244
17,c6_stay_home_j,0.052889411919645815,0.00034971340426496577,0.027816201511743244
18,c7_restr_internal_move_i,0.015662537936186494,0.0001698667445546802,0.027816201511743244
19,c7_restr_internal_move_j,0.019762904896716605,0.0002516444721583346,0.027816201511743244
20,c8_int_trvl_controls_i,0.01997545817466719,0.00016958948629277338,0.027816201511743244
21,c8_int_trvl_controls_j,0.03045724792147953,0.00022471783802455997,0.027816201511743244
22,h2_testingpolicy_i,0.03826954551364973,0.00040988066327609014,0.027816201511743244
23,h2_testingpolicy_j,0.01906536780707236,0.00026245644991710276,0.027816201511743244
24,h3_contacttracing_i,0.029118322137579238,0.0004379779210246497,0.027816201511743244
25,h3_contacttracing_j,0.011374833443719973,0.00020511423631211747,0.027816201511743244
