,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.2717704437035536,0.000909080579762691,0.00030059006147487477
1,date,0.0,0.0,0.00030059006147487477
2,new_cases_per_million_i,0.024348741676513644,0.0001261927659165664,0.00030059006147487477
3,new_deaths_per_million_i,0.02567907711126538,0.00018021718492851937,0.00030059006147487477
4,new_cases_per_million_j,0.02432693996519743,0.00019063942706659017,0.00030059006147487477
5,new_deaths_per_million_j,0.025722141571828457,0.00021845152808323538,0.00030059006147487477
6,c1_schoolclosing_i,0.030003666327622646,0.0003557992387799234,0.00030059006147487477
7,c1_schoolclosing_j,0.02979631142875507,0.0002553531210207388,0.00030059006147487477
8,c2_workplaceclosing_i,0.020812074886072025,0.0002377192392312521,0.00030059006147487477
9,c2_workplaceclosing_j,0.020944215316065655,0.000338289340431505,0.00030059006147487477
10,c3_cancel_events_i,0.03092368776554405,0.00035239101517679626,0.00030059006147487477
11,c3_cancel_events_j,0.03104943460246734,0.0003104611726924594,0.00030059006147487477
12,c4_restr_gather_i,0.025394606341118026,0.0002805936747242723,0.00030059006147487477
13,c4_restr_gather_j,0.02538969713484332,0.00027043126588384637,0.00030059006147487477
14,c5_closepublictransport_i,0.01338154785771824,0.00015431846983179383,0.00030059006147487477
15,c5_closepublictransport_j,0.013229316078240693,0.00019179625249357465,0.00030059006147487477
16,c6_stay_home_i,0.01728105444217217,0.0001909496640298066,0.00030059006147487477
17,c6_stay_home_j,0.017293381995922293,0.00017906751947845262,0.00030059006147487477
18,c7_restr_internal_move_i,0.0281579261228121,0.00031610170316930046,0.00030059006147487477
19,c7_restr_internal_move_j,0.02797452940446719,0.0002521366786282802,0.00030059006147487477
20,c8_int_trvl_controls_i,0.01584919767145816,0.0001570415774187821,0.00030059006147487477
21,c8_int_trvl_controls_j,0.015887007417679042,0.0002099498835329868,0.00030059006147487477
22,h2_testingpolicy_i,0.013717150834177539,7.006108543689936e-05,0.00030059006147487477
23,h2_testingpolicy_j,0.013665366400513126,0.00014295593533213886,0.00030059006147487477
24,h3_contacttracing_i,0.01399884959688413,0.00015277943863057728,0.00030059006147487477
25,h3_contacttracing_j,0.013983902765070721,0.00020979084621511513,0.00030059006147487477
