,feature,importance_mean,importance_std,mae_baseline
0,Component_0,0.2301907689527621,0.0014845336170248068,0.10095826838976192
1,Component_1,0.1426339956883847,0.0011657221391924966,0.10095826838976192
2,Component_2,0.12394994899718106,0.0005994143463006566,0.10095826838976192
3,date,0.0,0.0,0.10095826838976192
4,new_cases_per_million,0.12120813204405162,0.0009197542154653897,0.10095826838976192
5,new_deaths_per_million,0.1539932363750005,0.0010125395640654816,0.10095826838976192
6,paird,0.0,0.0,0.10095826838976192
