,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.0,0.0,0.20071481039909583
1,date,0.0,0.0,0.20071481039909583
2,new_cases_per_million_i,-0.00031059508532642886,3.811253595304624e-05,0.20071481039909583
3,new_deaths_per_million_i,0.008569124794689294,0.0004246413983363459,0.20071481039909583
4,new_cases_per_million_j,0.0017729513524910867,0.00031045427051195864,0.20071481039909583
5,new_deaths_per_million_j,0.02391395002364035,0.0004057383637743762,0.20071481039909583
6,c1_schoolclosing_i,0.006498517618095797,0.00019734439130475418,0.20071481039909583
7,c1_schoolclosing_j,0.014728610972951894,0.0004216148974961783,0.20071481039909583
8,c2_workplaceclosing_i,0.02263002736931389,0.0004152086470660086,0.20071481039909583
9,c2_workplaceclosing_j,0.0024795893906836538,0.00030650207646984906,0.20071481039909583
10,c3_cancel_events_i,0.003564948141375102,0.0002336869330707505,0.20071481039909583
11,c3_cancel_events_j,0.003024353140566019,0.0002535952290737544,0.20071481039909583
12,c4_restr_gather_i,0.016013446149995413,0.0004369089638642943,0.20071481039909583
13,c4_restr_gather_j,-0.0004932513005785427,0.000107220189988886,0.20071481039909583
14,c5_closepublictransport_i,0.0054703145128004865,0.00030080695409244034,0.20071481039909583
15,c5_closepublictransport_j,-7.379713854227532e-07,7.047374208044687e-05,0.20071481039909583
16,c6_stay_home_i,0.007874200277470541,0.00032559840242052976,0.20071481039909583
17,c6_stay_home_j,0.013943582770633655,0.000573473542436702,0.20071481039909583
18,c7_restr_internal_move_i,0.0007481766793911604,6.54473740760057e-05,0.20071481039909583
19,c7_restr_internal_move_j,0.002673015605438453,0.00023224940059891476,0.20071481039909583
20,c8_int_trvl_controls_i,0.00255706512563319,0.000283620318587647,0.20071481039909583
21,c8_int_trvl_controls_j,0.0019220768077173988,0.00013315943305995394,0.20071481039909583
22,h2_testingpolicy_i,0.016893317772145377,0.00037249730688822524,0.20071481039909583
23,h2_testingpolicy_j,0.0023730326142707065,9.866648745189976e-05,0.20071481039909583
24,h3_contacttracing_i,0.00017120856749532342,2.9052337864359793e-05,0.20071481039909583
25,h3_contacttracing_j,0.0022284526660200006,0.00014861160135133157,0.20071481039909583
