,feature,importance_mean,importance_std,mae_baseline
0,Component_0,0.2837670617313307,0.001136358285887777,0.000264539340669552
1,Component_1,0.21512916282592465,0.0008620456979711754,0.000264539340669552
2,Component_2,0.1981022210874948,0.0006028706298995482,0.000264539340669552
3,date,0.0,0.0,0.000264539340669552
4,new_cases_per_million,0.12511906115050392,0.0007541653947789047,0.000264539340669552
5,new_deaths_per_million,0.15185303983240683,0.0012502458819128503,0.000264539340669552
6,paird,0.0,0.0,0.000264539340669552
