,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.14419128242931648,0.0006124214719372001,0.03426432627595285
1,date,0.0,0.0,0.03426432627595285
2,new_cases_per_million_i,0.01995218506411198,0.00013775481206382932,0.03426432627595285
3,new_deaths_per_million_i,0.02931208180926962,0.0001918518531518486,0.03426432627595285
4,new_cases_per_million_j,0.022189379451827817,0.00016690741662188355,0.03426432627595285
5,new_deaths_per_million_j,0.03377450316656299,0.00030923737113969067,0.03426432627595285
6,c1_schoolclosing_i,0.02574015136030569,0.0002268886543269267,0.03426432627595285
7,c1_schoolclosing_j,0.027020754093376294,0.0002566086368747482,0.03426432627595285
8,c2_workplaceclosing_i,0.006331634350214619,6.414282989506507e-05,0.03426432627595285
9,c2_workplaceclosing_j,0.007644473443391672,9.56416225401209e-05,0.03426432627595285
10,c3_cancel_events_i,0.017765443902221605,0.0001623477460021124,0.03426432627595285
11,c3_cancel_events_j,0.019221212281709556,0.00018319160051947464,0.03426432627595285
12,c4_restr_gather_i,0.022098539785995058,0.0001374254236824944,0.03426432627595285
13,c4_restr_gather_j,0.019099468647936886,0.00023495838402586139,0.03426432627595285
14,c5_closepublictransport_i,0.0050992837527875125,8.598998874747878e-05,0.03426432627595285
15,c5_closepublictransport_j,0.004009431580749114,7.373184335507061e-05,0.03426432627595285
16,c6_stay_home_i,0.008825647485837071,8.104830992830523e-05,0.03426432627595285
17,c6_stay_home_j,0.007905374088593492,8.879296341221396e-05,0.03426432627595285
18,c7_restr_internal_move_i,0.008465952145074118,4.741205081646625e-05,0.03426432627595285
19,c7_restr_internal_move_j,0.007544248974936713,6.32534980573796e-05,0.03426432627595285
20,c8_int_trvl_controls_i,0.017536916850055716,0.00012522638640130934,0.03426432627595285
21,c8_int_trvl_controls_j,0.01722468112146578,0.0002048837487072004,0.03426432627595285
22,h2_testingpolicy_i,0.011721952574160999,0.00012889395314776852,0.03426432627595285
23,h2_testingpolicy_j,0.009598015504296863,0.00015863984409314282,0.03426432627595285
24,h3_contacttracing_i,0.006641888146674546,6.878603639739913e-05,0.03426432627595285
25,h3_contacttracing_j,0.007774915697261578,0.00010377504059033712,0.03426432627595285
