,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.0,0.0,0.028052477132145683
1,date,0.12581586104244097,0.0004815559689760335,0.028052477132145683
2,new_cases_per_million_i,0.006776333734820951,0.00011215327313950134,0.028052477132145683
3,new_deaths_per_million_i,0.015219049574916316,0.0001644057503853223,0.028052477132145683
4,new_cases_per_million_j,0.008359884015701808,7.584703472722174e-05,0.028052477132145683
5,new_deaths_per_million_j,0.013341536083232653,0.00019013346589389322,0.028052477132145683
6,c1_schoolclosing_i,0.04549758817453582,0.0003287151142970873,0.028052477132145683
7,c1_schoolclosing_j,0.04603448669645007,0.000319062549754435,0.028052477132145683
8,c2_workplaceclosing_i,0.03394879957714649,0.00025632841747754104,0.028052477132145683
9,c2_workplaceclosing_j,0.033583222124373126,0.00034348727451478613,0.028052477132145683
10,c3_cancel_events_i,0.03501389804875516,0.0003566061287674034,0.028052477132145683
11,c3_cancel_events_j,0.03338986641993817,0.0002556731375348928,0.028052477132145683
12,c4_restr_gather_i,0.03515463121511353,0.00021570638456727795,0.028052477132145683
13,c4_restr_gather_j,0.03616602981394352,0.00019663105662937882,0.028052477132145683
14,c5_closepublictransport_i,0.03777770209567078,0.00018025492995409482,0.028052477132145683
15,c5_closepublictransport_j,0.03705474459871462,0.0002234350722436394,0.028052477132145683
16,c6_stay_home_i,0.036383071773023586,0.00021248164867977004,0.028052477132145683
17,c6_stay_home_j,0.037348056084090794,0.00027666249671187443,0.028052477132145683
18,c7_restr_internal_move_i,0.05289102156250575,0.0003042605426475308,0.028052477132145683
19,c7_restr_internal_move_j,0.05585925515858632,0.00040452374574930937,0.028052477132145683
20,c8_int_trvl_controls_i,0.03488152918562124,0.00031673925985735104,0.028052477132145683
21,c8_int_trvl_controls_j,0.03484282081567605,0.0004405180543865106,0.028052477132145683
22,h2_testingpolicy_i,0.022961898876198945,0.0003287622683031325,0.028052477132145683
23,h2_testingpolicy_j,0.021218599275144513,0.00018398816156666613,0.028052477132145683
24,h3_contacttracing_i,0.03189345739640693,0.00027157205748554837,0.028052477132145683
25,h3_contacttracing_j,0.029569642517554784,0.00019885634213267155,0.028052477132145683
