,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.10758164152317014,0.000916328175156784,0.08421505684879124
1,date,0.004027684167383423,8.998543369486131e-05,0.08421505684879124
2,new_cases_per_million_i,0.027093191403820133,0.0004987762951073321,0.08421505684879124
3,new_deaths_per_million_i,0.01297368489528511,0.00022623608049336124,0.08421505684879124
4,new_cases_per_million_j,0.010817521543062364,0.0002480804900788023,0.08421505684879124
5,new_deaths_per_million_j,0.016343635310126045,0.0003902542000135121,0.08421505684879124
6,Component_0_i,0.029231135285316144,0.0005325376874747258,0.08421505684879124
7,Component_1_i,0.026484776140094486,0.0003252806748684229,0.08421505684879124
8,Component_0_j,0.10336017941818063,0.0008089301715827828,0.08421505684879124
9,Component_1_j,0.010340089604502995,0.00020499577897433396,0.08421505684879124
